Module,Year,Optional/Compulsory,Units
PB101,1,0,1
PB100,1,0,1
PB130,1,0,1
AN100,1,1,1
GC101,1,1,1
PB102,1,1,1
PH103,1,1,1
SO100,1,1,1
SP111,1,1,1
PB230,2,0,1
PB200,2,0,0.5
PB202,2,0,0.5
PB205,2,0,0.5
PB201,2,0,0.5
PB204,2,0,0.5
OO,2,1,0.5
PB310,3,0,1
PB300,3,0,1
DS202W,3,0,0.5
PB303,3,1,0.5
PB304,3,1,0.5
PB307,3,1,0.5
PB308,3,1,0.5
PB312,3,1,0.5
PB314,3,1,0.5
OO,3,1,1
