Module,Year,Optional/Compulsory,Prerequisites,Units
MA108,1,0,0,0.5
FM100,1,0,0,0.5
FM102,1,0,0,0.5
EC1A3,1,0,0,0.5
EC1B3,1,0,0,0.5
ST102,1,0,0,1
AC102,1,1,0,0.5
ST101,1,1,0,0.5
FM201,2,0,0,0.5
FM200,2,0,0,0.5
EC2C3,2,0,0,0.5
EC2C4,2,0,0,0.5
EC2A3,2,0,0,0.5
FM215,2,0,0,0.5
FM214,2,0,0,0.5
OO,,1,,0.5
FM301,3,0,0,0.5
FM302,3,0,0,0.5
FM321,3,0,0,0.5
FM322,3,0,0,0.5
FM304,3,0,0,0.5
FM305,3,0,0,0.5
OO,,1,,0.5
OO,,1,,0.5
